subject_code,subject,tik_number,tik_name,tik_classifier_id,uik_count,uik_voting_address_count,missing_uik_voting_address_count,tik_address_present,tik_phone_present,fallback_present,priority_missing_uiks
3,Республика Башкортостан,12,Белорецкая,94e94d8e-6b71-494a-b833-f2e1858126a2,70,0,70,0,0,0,70
23,Краснодарский край,41,Северская,652cc601-8e90-4455-b54c-af267911219c,70,0,70,0,0,0,70
33,Владимирская область,8,Александровская,99fed2af-1cf7-477e-9a86-f1b50bf6ace0,70,0,70,0,0,0,70
61,Ростовская область,6,Белокалитвинская,b03dcaba-c82a-4767-a68b-5dc8ee170990,70,0,70,0,0,0,70
76,Ярославская область,17,"Ярославль, Дзержинская",d7b1a156-75a7-4cd4-a503-04dda6268d05,70,0,70,0,0,0,70
1,Республика Адыгея (Адыгея),5,Майкопская городская,5839b67e-e834-4609-8ee5-047e72e9f24b,69,0,69,0,0,0,69
3,Республика Башкортостан,54,"г. Уфа, Калининская",974a39ee-f798-44df-9555-2f8d1dd96080,69,0,69,0,0,0,69
24,Красноярский край,33,Территориальная избирательная комиссия Октябрьского района города Красноярска,8b452755-a05d-4268-be51-21582529bf88,69,0,69,0,0,0,69
25,Приморский край,6,ТИК Первомайского района города Владивостока,1045d617-3165-41e8-aea7-7a8cbafd64f5,69,0,69,0,0,0,69
33,Владимирская область,9,Вязниковская,ea2963bc-e077-44b4-8638-5d1d1f03958d,69,0,69,0,0,0,69
38,Иркутская область,22,Куйтунская,418079d7-2c93-42b4-bafc-d7164282a6b6,69,0,69,0,0,0,69
54,Новосибирская область,26,Калининский район города Новосибирска,8f762c0a-3b79-4af7-b8de-cba5d93a1672,69,0,69,0,0,0,69
61,Ростовская область,34,Новочеркасская городская,dbdbb501-2715-4028-ae35-db765847b8f5,69,0,69,0,0,0,69
93,Республика Крым,8,ТИК города Керчи,41473c19-3a12-46ec-873e-33abf5780249,69,0,69,0,0,0,69
10,Республика Карелия,12,Петрозаводская городская №2,61b9098e-a383-4285-b408-d49a63edf473,68,0,68,0,0,0,68
15,Республика Северная Осетия - Алания,3,ТИК Левобережной части г.Владикавказа,59362723-3160-4139-9121-acfc23ac45c6,68,0,68,0,0,0,68
16,Республика Татарстан (Татарстан),38,Кукморская,8d361d84-2ccc-4b03-adb0-c76a4706eb22,68,0,68,0,0,0,68
23,Краснодарский край,42,Славянская,43f9c80e-7c5e-481a-aa03-72b2661e4f71,68,0,68,0,0,0,68
24,Красноярский край,35,Территориальная избирательная комиссия № 1 Советского района города Красноярска,5856456d-d690-46b2-9911-6268a0c34279,68,0,68,0,0,0,68
36,Воронежская область,34,Россошанская,c5330f52-f20a-4a12-85db-ddbfb431aa28,68,0,68,0,0,0,68
45,Курганская область,10,"Курган, Западная",99dc58e9-d1ce-4af6-bf5c-7136fdc31a6c,68,0,68,0,0,0,68
61,Ростовская область,54,Таганрогская городская (восточная),cbb791c1-527e-492c-981e-388573341b3a,68,0,68,0,0,0,68
93,Республика Крым,27,ТИК города Ялты,00c01b74-ad06-4efb-83c3-6a638ad45923,68,0,68,0,0,0,68
16,Республика Татарстан (Татарстан),48,"Набережные Челны, Центральная",749b5f81-8545-4519-a35e-f7b8a6ed517c,67,0,67,0,0,0,67
21,Чувашская Республика - Чувашия,8,Канашская,7c146212-648a-46b6-8d38-5b13d0cdbddc,67,0,67,0,0,0,67
23,Краснодарский край,19,Красноармейская,f3d73ae1-67d8-46e2-8c33-0f0402c21cef,67,0,67,0,0,0,67
36,Воронежская область,9,"Воронеж, Железнодорожная",31a7ca14-33b6-4840-b437-052fb60c5ebe,67,0,67,0,0,0,67
37,Ивановская область,6,"Иваново, Ленинская",c1b29a1e-bc93-4efa-9bfd-fa7def37d4e9,67,0,67,0,0,0,67
54,Новосибирская область,23,Дзержинский район города Новосибирска,01f9c68f-d8ef-4ba5-b0fc-0f5be7545c7f,67,0,67,0,0,0,67
56,Оренбургская область,31,Оренбургская,a8bd829c-2626-40cb-a691-51c4a2e0cbd2,67,0,67,0,0,0,67
70,Томская область,19,Территориальная избирательная комиссия Октябрьского района  города Томска,c56d7eed-378b-408a-b049-35865c30d566,67,0,67,0,0,0,67
72,Тюменская область,21,Ленинская ТИК,dacf1b28-1d3b-44b5-bf06-559923ee85f8,67,0,67,0,0,0,67
91,Камчатский край,7,Петропавловск-Камчатская городская,5d7945b6-0c11-46da-a3e6-30d61490ba49,67,0,67,0,0,0,67
3,Республика Башкортостан,58,"г. Уфа, Орджоникидзевская",cb93cff5-3053-4496-82d9-919a16c4ce02,66,0,66,0,0,0,66
3,Республика Башкортостан,59,"г. Уфа, Советская",309f3af2-1e8e-4708-b4b5-b9d218e16859,66,0,66,0,0,0,66
5,Республика Дагестан,42,Табасаранская,07eca167-88d9-4f8e-b1ec-1cafae2ba6de,66,0,66,0,0,0,66
21,Чувашская Республика - Чувашия,20,"Чебоксары, Калининская",b0b1b478-28ed-4164-94fd-ee2e1804a1a5,66,0,66,0,0,0,66
24,Красноярский край,2,Территориальная избирательная комиссия № 1 Ачинского округа Красноярского края,30291390-68a3-42b0-aa18-68f657ad1160,66,0,66,0,0,0,66
48,Липецкая область,17,"Липецк, Советская",627dc66d-34c7-473f-a165-a0cc64154cfd,66,0,66,0,0,0,66
23,Краснодарский край,20,Западная г. Краснодара,0c842399-3ccd-4a7b-9a4d-a1d70057a67c,65,0,65,0,0,0,65
23,Краснодарский край,23,Центральная г. Краснодара,70bc6adb-f945-40d2-9dc4-e31bfc52972d,65,0,65,0,0,0,65
24,Красноярский край,40,Территориальная избирательная комиссия  Минусинского округа Красноярского края,90b052f5-cac0-42c1-b089-3341e7aa1fcd,65,0,65,0,0,0,65
26,Ставропольский край,20,Минераловодская,d640c381-7580-4174-963f-44eadaa30e3c,65,0,65,0,0,0,65
33,Владимирская область,5,Ковровская городская,20d7a74a-7f6f-4278-afa6-e27b639f19ef,65,0,65,0,0,0,65
45,Курганская область,9,"Курган, Восточная",8033f88a-6f65-4cf3-93fc-7dab6a0c5e8d,65,0,65,0,0,0,65
50,Московская область,3,Истра (121 округ ГД),a44ae4a9-133e-44d9-b081-32cfd445d9c9,65,0,65,0,0,0,65
50,Московская область,5,Егорьевск (125 округ ГД),5d17b357-5109-4b5e-b2f4-44f15827008c,65,0,65,0,0,0,65
50,Московская область,9,Можайский (121 округ ГД),00df600f-81c9-4f22-8378-3b339cdec250,65,0,65,0,0,0,65
61,Ростовская область,25,Красносулинская,d1e487fb-4d4e-409b-8e96-b79d5c78b954,65,0,65,0,0,0,65
63,Самарская область,35,"Самара, Советская",94f98692-9761-4489-82ba-745ed6f62841,65,0,65,0,0,0,65
71,Тульская область,23,"Тула, Пролетарская",8982d68d-5240-4e24-9079-63bf3d89aaf5,65,0,65,0,0,0,65
93,Республика Крым,6,ТИК Джанкойского района,dd02c882-517a-4b45-92ba-7dd774e13a0d,65,0,65,0,0,0,65
93,Республика Крым,20,ТИК Киевского района города Симферополя,313f9888-6a20-4cc6-b6c5-068b3f997d8f,65,0,65,0,0,0,65
10,Республика Карелия,11,Петрозаводская городская №1,d189655d-d1f6-42e7-a856-a85d34e04bf3,64,0,64,0,0,0,64
23,Краснодарский край,11,Гулькевичская,5691d992-e0a8-4969-a32c-265158e13b29,64,0,64,0,0,0,64
23,Краснодарский край,43,Адлерская г. Сочи,9b8a53f3-2fb6-4f98-87c4-71ffe3b69be9,64,0,64,0,0,0,64
32,Брянская область,2,"Брянск, Бежицкая",8a25e709-bdcd-43e9-a257-528911bb6fcf,64,0,64,0,0,0,64
61,Ростовская область,50,"Ростов-на-Дону, Советская",83171895-f983-461d-a2e0-a2c7d9c7e9e4,64,0,64,0,0,0,64
90,Пермский край,29,"Пермь, Индустриальная",1704058b-290e-4317-9f01-dba0ef97b4df,65,1,64,0,0,0,64
4,Республика Бурятия,22,"Улан-Удэ, Железнодорожная",6d0cd65a-8667-4142-8fd5-3246c41bb348,63,0,63,0,0,0,63
5,Республика Дагестан,36,"Махачкала, Советская",36cfbd25-b9e4-431c-8207-b7bb18e231b2,63,0,63,0,0,0,63
24,Красноярский край,45,Территориальная избирательная комиссия города Норильска Красноярского края,b627f762-4c7d-4c0a-a058-fcd6573eddd2,63,0,63,0,0,0,63
38,Иркутская область,13,Иркутская городская N 1,2ef8c8c3-c632-4c67-a90b-86999d860660,63,0,63,0,0,0,63
90,Пермский край,28,"Пермь, Дзержинская",464202b6-9601-4e2e-ad81-4b13051ca2ea,64,1,63,0,0,0,63
3,Республика Башкортостан,1,Абзелиловская,216c0352-3db4-469c-9fee-743a109fdc7a,62,0,62,0,0,0,62
3,Республика Башкортостан,23,Дюртюлинская,b6276c92-ecf3-4ade-9992-68ee7a2072f0,62,0,62,0,0,0,62
3,Республика Башкортостан,45,Салаватская городская,3c3e2522-0775-4cb2-b94f-1294ba8fcac3,62,0,62,0,0,0,62
16,Республика Татарстан (Татарстан),9,Альметьевская городская,f7a6598f-6bb4-4226-8afd-db74c8dfe479,62,0,62,0,0,0,62
16,Республика Татарстан (Татарстан),11,Арская,3745484e-14cf-4f3c-a87f-53266057bb57,62,0,62,0,0,0,62
38,Иркутская область,47,Иркутская районная 96,f873fb7a-247f-448d-92ef-2b9298893754,62,0,62,0,0,0,62
40,Калужская область,9,"Калуга, Ленинская",9c1bfd3d-fa7d-4b5b-b129-bfa6c0a11c16,62,0,62,0,0,0,62
69,Тверская область,6,Вышневолоцкая,818958d5-99ce-411b-97a1-1e26398491ff,62,0,62,0,0,0,62
93,Республика Крым,3,ТИК Бахчисарайского района,82d69381-d774-47cf-803a-7a4bec5321cc,62,0,62,0,0,0,62
3,Республика Башкортостан,61,Учалинская,6cef6afd-c8b7-44dc-a422-72965826725f,61,0,61,0,0,0,61
21,Чувашская Республика - Чувашия,21,"Чебоксары, Ленинская",ade1dc95-663c-4421-833e-36e2206b13eb,61,0,61,0,0,0,61
23,Краснодарский край,56,Усть-Лабинская,ad5e8a25-9bce-4d67-a96b-ad9395cfdb9f,61,0,61,0,0,0,61
38,Иркутская область,14,Иркутская городская N 2,b2e5f03f-690d-4f2c-9ea0-01b6429f5334,61,0,61,0,0,0,61
56,Оренбургская область,28,"Оренбург, Ленинская",5781c578-2d15-45fe-979e-76b2c5e7ce26,61,0,61,0,0,0,61
62,Рязанская область,18,"Рязань, Московская",bfb30464-8095-48ea-92db-98728075a2e4,61,0,61,0,0,0,61
71,Тульская область,9,Ефремовская,c0cdff59-ad84-4d03-bf2b-328c7f03fefd,61,0,61,0,0,0,61
93,Республика Крым,18,ТИК Сакского района,79ae4951-41a5-4a75-a359-75634af3030a,61,0,61,0,0,0,61
97,Запорожская область,13,Токмакская,f53d502a-e860-4cea-9e96-a55cee3a2f9e,61,0,61,0,0,0,61
23,Краснодарский край,27,Курганинская,069e9939-4e2d-41ae-a538-60d4c649575f,60,0,60,0,0,0,60
23,Краснодарский край,32,Новокубанская,fa1ffa87-a859-4f08-b57b-7c55546ac1c0,60,0,60,0,0,0,60
